,owner,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,average
34,LEGACY GOLF COURSE,,,,,,,,,,,0.000147844,0.000147844,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,0.000492813,,0.000469022
35,LIVINGSTON,0.056474587,0.052019165,0.059958932,0.070746064,0.059958932,0.059958932,0.067753593,0.062691307,0.064060233,0.082135524,0.065708419,0.054757016,0.054757016,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,0.06803833,,0.066153238
36,LOCUST HILLS GOLF CLUB,,,,,,,,,,,,,,,0.010053388,0.010053388,0.024640657,0.024640657,0.029744011,0.018595483,0.039041752,0.03504449,0.026132786,0.026447639,0.034297057,0.03613963,0.041092402,0.019206023,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,0.015427789,,0.021793402
37,LONG LAKE FARMS,,,,,,,,,,,,,,,,,,,,,,0.105085919,0.105087562,0.157628879,0.09499767,0.197344285,0.116309681,0.125779603,0.209716726,0.125941136,0.10513347,0.10513347,0.10513347,0.10513347,0.10513347,0.10513347,0.10513347,0.10513347,0.10513347,,0.121338483
38,MAEYSTOWN,0.01126078,0.010466804,0.010130048,0.009965777,0.01332512,0.011526352,0.011526352,0.011526352,0.011234428,0.010942505,0.010942505,0.014817248,0.008213552,0.02495332,0.009199179,0.014590324,0.032749979,0.033232998,0.033716016,0.03432811,0.034151526,0.032480739,0.081138946,0.03118412,0.03118412,0.03118412,0.028653525,0.028653525,0.030526489,0.032399452,0.032399452,0.032399452,0.032399452,0.032399452,0.032399452,0.032399452,0.032399452,0.032399452,0.032399452,,0.025174343
39,MAPLE LEAF ESTATES WATER CORP,0.003843943,0.003247775,0.00278757,0.003247775,0.003247775,0.003397673,0.003397673,0.003843943,0.002606434,0.001368925,0.001560575,0.000638686,0.003072895,0.004232101,0.003797399,0.003647502,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,0.003902327,,0.003530568
40,MARINE,0.068958248,0.032905955,0.08733744,0.063759069,0.063759069,0.062234086,0.062234086,0.073149897,0.073535934,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,0.073921971,,0.071936742
41,MARYVILLE,0.275778234,0.252731006,0.384515811,0.2891718,0.62396167,0.537708419,0.399389432,0.530069815,0.471383984,0.505147162,0.532826825,0.522513347,0.516695409,0.571961676,0.611741273,0.611741273,0.645149213,0.678557153,0.690759754,0.689735797,0.741965777,0.743501711,0.754499658,0.796339493,0.884514716,0.878009582,0.955811088,0.873593429,0.843441478,0.858858316,0.914869268,0.951794661,0.846502396,0.864870637,0.836829569,0.854702259,0.889780972,0.924859685,0.924859685,,0.684131883
42,MIDWEST RUBBER RECLAIMING,0.317590691,0.364134155,0.457221081,0.618754278,0.432580424,0.246406571,0.319342916,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,0.122606467,,0.171267617
43,MOBIL OIL CORP - SAUGET TERMINAL,,,,,,2.74E-05,2.74E-05,2.74E-05,2.74E-05,2.74E-05,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,0.000958248,,0.000821355
44,MOUND PWD,0.112854209,0.109672827,0.109672827,0.101848049,0.099416838,0.082070626,0.082069815,0.10763039,0.100896318,0.094162245,0.098836413,0.109358248,0.108145927,0.115900342,0.116722245,0.105897604,0.104545106,0.103192608,0.091296805,0.079401002,0.039356605,0.101333607,0.075127173,0.078478576,0.108287201,0.092494456,0.092494456,0.092494456,0.109239973,0.109239973,0.107824778,0.106409582,0.104994387,0.119867762,0.110184047,0.110184047,0.110184047,0.110184047,0.110184047,,0.100568043
45,OLIN CORP,0.329423682,3.389040383,1.805434634,0.221828884,0.38862423,0.462368241,0.688208077,0.728071184,0.719507187,0.719507187,0.719507187,0.719507187,0.719507187,0.719507187,0.912197125,0.923148528,0.951074606,0.94934976,0.94934976,0.94934976,0.749486653,0.749486653,1.07926078,0.84405594,1.099247091,1.159206023,1.242655715,1.226806297,1.27633128,1.233519507,1.321149897,1.212320329,1.19394935,1.072525667,1.121560575,0.790006845,1.272160186,1.318877481,1.318877481,,1.006307583
46,ORCHARDS GOLF CLUB,,,,,,,,,,,,,,,,0.002956879,0.002483778,0.002222587,0.001961396,0.001700205,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,0.001439014,,0.001611088
