p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
402849,11938560,PREMCOR REFINING GROUP,2,112,,,,,115632000,249660000,334281600,316057000,177127200,194472000,194472000,194545000,157000000,157000000,277200000,428400000,421200000,421200000,421200000,453600000,453600000,440640000,474300000,418860000,32800000,115632000,141269000,224810000,274308000,271535000,248027000,248465000,83547000,54791000,99164000,152165000,133797000,115429000,91412333.33,67395666.67,43379000
402850,11938560,PREMCOR REFINING GROUP,3,104,,,200000000,168192000,175024800,224956800,199728000,212539950,139284000,136656000,134028000,131400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402852,11938560,PREMCOR REFINING GROUP,5,110,,,211000000,231264000,262800000,292000000,231264000,222650000,222854400,236520000,231264000,231410000,117000000,117000000,129600000,129600000,136800000,144000000,144000000,108000000,144000000,136800000,127080000,211800000,296520000,,,,,,,,113682000,233197000,186131000,147549000,131252500,114956000,99030000,83104000,67178000
402855,11938560,PREMCOR REFINING GROUP,6,113.33,,,243000000,199728000,241301500,282875000,273312000,278239500,283824000,252288000,241776000,241995000,219000000,219000000,150000000,216000000,194400000,172800000,172800000,259200000,172800000,155520000,121600000,182400000,134016333.3,85632666.67,37249000,26098000,20763000,9042000,3168000,26661000,22612000,16355000,93838611,91159619,92956809.5,94754000,94238200,93722400,93206600
402856,11938560,PREMCOR REFINING GROUP,7,103,,,,,,,,,,103367000,103368000,310260000,215000000,215000000,302400000,252000000,226800000,201600000,201600000,151200000,136080000,100800000,140410000,221700000,302990000,,,,,,,,,,,,,,,,
402857,11938560,PREMCOR REFINING GROUP,8,,,,,,,,,,,,,,274000000,274000000,302400000,86400000,-129600000,,,,,,,,,,,,,,,,,,,,,,,,
402858,11938790,BP PRODUCTS - NORTH AMERICAN,1,107,,,68900000,32990000,96185000,120888000,9200000,-102488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402859,11938790,BP PRODUCTS - NORTH AMERICAN,2,112,,,103350000,125280000,64123000,2966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402860,11938790,BP PRODUCTS - NORTH AMERICAN,3,101,,,68900000,80180000,35741000,-8698000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402861,11938790,BP PRODUCTS - NORTH AMERICAN,4,102,,,68900000,17800000,5782000,-6236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402885,11938790,BP PRODUCTS - NORTH AMERICAN,42,113,,,34450000,167270000,214919000,299590000,268840000,187113600,105387200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402902,11938790,BP PRODUCTS - NORTH AMERICAN,57,120,,,,1290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402903,11938790,BP PRODUCTS - NORTH AMERICAN,58,121,,,,160880000,83570000,24480000,-34610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26172000,56064960,78243840,122487840,51670617,-19146606
402904,11938790,BP PRODUCTS - NORTH AMERICAN,59,114,,,68900000,2340000,56239000,147170000,61626000,-23918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402906,11938790,BP PRODUCTS - NORTH AMERICAN,61,122,,,68900000,134090000,84096000,54720000,10818600,-33082800,,,,,,,,,,,,,,,,,,,,,,,,,,,,76723200,183257280,262293840,256628160,124139151,-8349858
402907,11938790,BP PRODUCTS - NORTH AMERICAN,62,104,,,68900000,129430000,43099000,38324900,33550800,247032000,269501000,207126500,209714000,218361813.3,227009626.7,235657440,237250000,237250000,185931000,140437000,226982880,216000000,179197000,171600000,158856000,123624000,228198000,141396000,141192000,225288000,178272000,152298000,156816000,161460000,115830000,112626000,61989120,993600,-60001920,,,,
402908,11938790,BP PRODUCTS - NORTH AMERICAN,63,105,,,,1260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402910,11938790,BP PRODUCTS - NORTH AMERICAN,64,120,,,68900000,218760000,302746000,394200000,412640000,284875200,251236000,207126500,276465000,254043440,231621880,209200320,237250000,237250000,181682400,129420000,216976320,210000000,166372000,131000000,150720000,161796000,143124000,233892000,128796000,103332000,177174000,146016000,197334000,189522000,144270000,133045200,154040400,23486400,41731200,43084800,73728000,55008000,36288000
402911,11938790,BP PRODUCTS - NORTH AMERICAN,65,119,,,34450000,78110000,247558000,262800000,317090000,207086400,269107000,207126500,226533000,235836560,245140120,254443680,237250000,237250000,188559000,140625000,192477600,216000000,171309000,154000000,154423200,168960000,187872000,119844000,149280000,94536000,177152400,155304000,185130000,184158000,159552000,103464000,93929760,129600,-93670560,,,,
402912,11938790,BP PRODUCTS - NORTH AMERICAN,66,124,,,34450000,124240000,103594000,241780000,189050000,107222400,150847000,207126500,160308000,182260800,204213600,226166400,237250000,237250000,180237000,127734000,214194240,72000000,72490000,72980000,153432000,191352000,153648000,213108000,178080000,64962000,131637600,172854000,171252000,152532000,128466000,103251600,69357600,13060800,-43236000,,,,
402913,11938790,BP PRODUCTS - NORTH AMERICAN,67,107,,,,,,,,,,,,,,,,237250000,,,,,,,,,,,,,,,,,,,,18444960,56064960,102067200,107642880,73871780,40100680
402914,11938792,KIENSTRA INC,1,91,,,,,,,,,,,,,850000,850000,850000,850000,,,,,,,,,,,90000,90000,90000,90000,,,,,,,,,,,
402915,11938792,KIENSTRA INC,2,79,,,,,,,,,,,,,375000,375000,375000,375000,,,,,,,,,,,,,,,,,,,,,,,,,
