,row,col,y1995,x,y,model,diff
61,101,63,411.4,63500.0,118500.0,412.0455627441406,0.6455627441406477
62,101,64,405.5,64500.0,118500.0,412.1548767089844,6.654876708984375
63,103,22,404.01,22500.0,116500.0,404.367919921875,0.3579199218750091
64,103,27,406.18,27500.0,116500.0,408.0195617675781,1.8395617675781182
65,103,43,417.55,43500.0,116500.0,411.28656005859375,-6.263439941406261
66,104,39,410.02,39500.0,115500.0,411.2505798339844,1.2305798339843932
67,106,20,405.7966666666666,20500.0,113500.0,401.48828125,-4.308385416666624
68,106,23,405.68,23500.0,113500.0,403.08709716796875,-2.592902832031257
69,108,19,401.39,19500.0,111500.0,399.64801025390625,-1.7419897460937364
70,108,57,409.6,57500.0,111500.0,412.428955078125,2.8289550781249773
71,109,18,402.49,18500.0,110500.0,398.7395935058594,-3.750406494140634
72,109,24,403.98,24500.0,110500.0,398.2331237792969,-5.746876220703143
73,109,50,403.94,50500.0,110500.0,406.49615478515625,2.5561547851562523
74,110,24,403.68,24500.0,109500.0,395.6614074707031,-8.018592529296882
75,110,26,404.935,26500.0,109500.0,396.9346923828125,-8.000307617187502
76,110,34,406.86,34500.0,109500.0,406.2156677246094,-0.6443322753906386
77,110,35,405.92,35500.0,109500.0,405.8622741699219,-0.057725830078140916
78,110,49,406.29,49500.0,109500.0,404.9839782714844,-1.3060217285156455
79,111,29,405.16499999999996,29500.0,108500.0,403.1063537597656,-2.0586462402343386
80,112,22,407.68,22500.0,107500.0,398.2361145019531,-9.443885498046882
81,112,26,401.3,26500.0,107500.0,396.1011657714844,-5.198834228515636
82,112,49,403.9,49500.0,107500.0,404.77362060546875,0.8736206054687727
83,112,61,410.25,61500.0,107500.0,415.35565185546875,5.10565185546875
84,113,15,395.2,15500.0,106500.0,395.72052001953125,0.5205200195312614
85,113,16,395.86,16500.0,106500.0,396.6898498535156,0.8298498535156114
86,113,22,403.1,22500.0,106500.0,398.60150146484375,-4.498498535156273
87,113,31,403.93,31500.0,106500.0,404.1280822753906,0.19808227539061818
88,113,46,404.67,46500.0,106500.0,401.8993225097656,-2.770677490234391
89,113,47,404.9,47500.0,106500.0,402.62176513671875,-2.2782348632812273
90,114,17,398.92,17500.0,105500.0,397.77337646484375,-1.146623535156266
91,114,21,401.04,21500.0,105500.0,399.27703857421875,-1.7629614257812705
92,114,25,397.24,25500.0,105500.0,398.9957580566406,1.755758056640616
93,114,55,406.85,55500.0,105500.0,411.17645263671875,4.326452636718727
94,114,62,407.87,62500.0,105500.0,415.2728271484375,7.4028271484374955
95,115,15,395.72,15500.0,104500.0,395.8533935546875,0.13339355468747272
96,115,21,401.19,21500.0,104500.0,399.5946960449219,-1.5953039550781227
97,116,15,396.24,15500.0,103500.0,395.5367431640625,-0.7032568359375091
98,116,64,403.85,64500.0,103500.0,409.1212158203125,5.271215820312477
99,117,54,406.02,54500.0,102500.0,409.59271240234375,3.572712402343768
100,118,15,397.3,15500.0,101500.0,395.54510498046875,-1.7548950195312614
101,118,16,396.38,16500.0,101500.0,396.767578125,0.38757812500000455
102,118,52,405.24,52500.0,101500.0,408.27685546875,3.036855468749991
103,119,17,396.08,17500.0,100500.0,397.69464111328125,1.614641113281266
104,120,35,400.46,35500.0,99500.0,402.8387451171875,2.3787451171875205
105,120,57,405.05,57500.0,99500.0,409.3639221191406,4.313922119140614
